"","name","val","dval","type"
"77","f_Ds_ov_m_D",0.138080070353807,0.00246669188221857,"PDG"
"78","f_Ds_ov_m_D",0.133307594135753,0.00144785968695143,"FLAG/PDG"
"79","m_pi_ov_f_D",0.658846529814272,0.0161674715579581,"ISOSYM/PDG"
"80","m_pi_ov_f_D",0.644359464627151,0.0102650316633597,"ISOSYM/FLAG"
"81","m_K_ov_f_D",2.41544477028348,0.0590608312546842,"ISOSYM/PDG"
"82","m_K_ov_f_D",2.3623326959847,0.0373133519195647,"ISOSYM/FLAG"
"83","f_pi_ov_f_D",0.637341153470186,0.01560594170523,"PDG"
"84","f_pi_ov_f_D",0.623326959847036,0.0098789631588167,"PDG/FLAG"
"85","f_pi_ov_f_D",0.636363636363636,0.0169902251819486,"FLAG/PDG"
"86","f_pi_ov_f_D",0.622370936902486,0.0118814397314388,"FLAG"
"87","f_K_ov_f_D",0.763440860215054,0.0189680190302323,"PDG"
"88","f_K_ov_f_D",0.746653919694073,0.0122440832704523,"PDG/FLAG"
"89","f_K_ov_f_D",0.763929618768329,0.0191800910231626,"FLAG/PDG"
"90","f_K_ov_f_D",0.747131931166348,0.0125461982721742,"FLAG"
"91","m_D_ov_f_D",9.11466275659824,0.222744375357484,"PDG"
"92","m_D_ov_f_D",8.91424474187381,0.14061804443392,"PDG/FLAG"
"93","f_D",204.6,5,"PDG"
"94","m_Ds_ov_f_D",9.62121212121212,0.235127687728484,"PDG"
"95","m_Ds_ov_f_D",9.40965583173996,0.148439354948714,"PDG/FLAG"
"96","f_Ds_ov_f_D",1.25855327468231,0.0380977522092513,"PDG"
"97","f_Ds_ov_f_D",1.23087954110899,0.0293341163538048,"PDG/FLAG"
"98","f_Ds_ov_f_D",1.21505376344086,0.0324937666929354,"FLAG/PDG"
"99","f_Ds_ov_f_D",1.18833652007648,0.0227586903083807,"FLAG"
"100","m_pi_ov_m_Ds",0.0684785369570739,0.00015280632169592,"ISOSYM/PDG"
"101","m_K_ov_m_Ds",0.251054102108204,0.0002072582411088,"ISOSYM/PDG"
"102","f_pi_ov_m_Ds",0.066243332486665,0.000102169284493091,"PDG"
"103","f_pi_ov_m_Ds",0.0661417322834646,0.000711282692882551,"FLAG/PDG"
"104","f_K_ov_m_Ds",0.0793497586995174,0.000355834586809793,"PDG"
"105","f_K_ov_m_Ds",0.0794005588011176,0.000457383074244338,"FLAG/PDG"
"106","m_D_ov_m_Ds",0.947350774701549,0.00016756433758126,"PDG"
"107","f_D_ov_m_Ds",0.103937007874016,0.00254006127533084,"PDG"
"108","f_D_ov_m_Ds",0.106273812547625,0.00167649236747833,"FLAG/PDG"
"109","m_Ds",1968.5,0.32,"PDG"
"110","f_Ds_ov_m_Ds",0.130810261620523,0.0023369014236928,"PDG"
"111","f_Ds_ov_m_Ds",0.126289052578105,0.00137175637385494,"FLAG/PDG"
"112","m_pi_ov_f_Ds",0.523495145631068,0.00942404980372767,"ISOSYM/PDG"
"113","m_pi_ov_f_Ds",0.54223652453741,0.00601150224223932,"ISOSYM/FLAG"
"114","m_K_ov_f_Ds",1.91922330097087,0.0343203268949711,"ISOSYM/PDG"
"115","m_K_ov_f_Ds",1.98793242156074,0.0216504491067988,"ISOSYM/FLAG"
"116","f_pi_ov_f_Ds",0.506407766990291,0.00907978868835421,"PDG"
