name barnum value
"Hopping_Matrix self" 1 2.28e4
"omp parallel" 1 2.07e5
"omp parallel self" 2 2.65e4
"omp for pre" 2 3.78e4
"omp single" 2 7.79e4
"omp for post" 2 6.4e4
"omp parallel ibarrier" 2 1.05e3
"omp for pre self" 3 3.1e4
"omp for pre ibarrier" 3 6.82e3
"omp single self" 4 3.37e3
"xchange_halffield" 4 1.17e3
"omp single ibarrier" 4 7.33e4
"omp for post self" 5 5.43e4
"omp for post ibarrier" 5 9.66e3
